Product Name,Sales,Cost,Gross_Profit,Units,Orders,Division,Factory,Gross Margin %,Profit per Unit,Revenue Contribution %,Profit Contribution %,Margin Volatility,Quadrant,Cost-to-Sales Ratio,Cost Risk Flag
Wonka Bar - Scrumdiddlyumptious,27853.2,8510.7,19342.5,7737,1704,Chocolate,Lot's O' Nuts,69.44444444444444,2.5,19.664009282887612,20.720258354867727,1.5109251679382253e-14,High-Sales / High-Margin (Star),0.3055555555555556,Normal
Wonka Bar - Triple Dazzle Caramel,28462.5,9867.0,18595.5,7590,1677,Chocolate,Wicked Choccy's,65.33333333333333,2.45,20.094167428309444,19.920049850740227,1.481584022095282e-14,High-Sales / High-Margin (Star),0.3466666666666667,Normal
Wonka Bar - Milk Chocolate,26809.25,9403.86,17405.39,8249,1768,Chocolate,Wicked Choccy's,64.92307692307692,2.11,18.92699369793254,18.645168802752032,1.1087159600798116e-14,High-Sales / High-Margin (Star),0.3507692307692308,Normal
Wonka Bar - Nutty Crunch Surprise,23557.5,6750.0,16807.5,6750,1529,Chocolate,Lot's O' Nuts,71.34670487106017,2.49,16.631299049359676,18.004691342868774,1.0683854321145422e-14,High-Sales / High-Margin (Star),0.28653295128939826,Normal
Wonka Bar - Fudge Mallows,24872.4,8290.8,16581.6,6909,1527,Chocolate,Lot's O' Nuts,66.66666666666666,2.4,17.55960193039557,17.762700578367564,1.622993979481637e-14,High-Sales / High-Margin (Star),0.33333333333333326,Normal
Lickable Wallpaper,7860.0,3930.0,3930.0,393,92,Other,Secret Factory,50.0,10.0,5.549061255564769,4.209932290791271,0.0,High-Sales / Low-Margin (Volume Trap),0.5,Normal
Wonka Gum,597.5,286.8,310.7,478,118,Other,Secret Factory,52.0,0.65,0.4218274936641157,0.3328310337783328,3.312922587782601e-15,High-Sales / Low-Margin (Volume Trap),0.48000000000000004,Normal
Everlasting Gobstopper,130.0,26.0,104.0,13,3,Sugar,Secret Factory,80.0,8.0,0.09177836682231806,0.11140787741534153,0.0,Low-Sales / High-Margin (Niche),0.2,Normal
Kazookles,1205.75,1113.0,92.75,371,94,Other,The Other Factory,7.6923076923076925,0.25,0.851244352277,0.09935654452185506,0.0,High-Sales / Low-Margin (Volume Trap),0.9230769230769231,High Cost Risk
Hair Toffee,76.5,17.0,59.5,17,4,Sugar,The Other Factory,77.77777777777779,3.5,0.054008038937748706,0.06373816063666174,0.0,Low-Sales / High-Margin (Niche),0.2222222222222222,Normal
Fizzy Lifting Drinks,78.75,31.5,47.25,21,6,Sugar,Sugar Shack,60.0,2.25,0.0555965106712119,0.05061559815264315,0.0,Low-Sales / Low-Margin (Laggard),0.4,Normal
Laffy Taffy,53.73,20.25,33.480000000000004,27,10,Sugar,Sugar Shack,62.31155778894474,1.2400000000000002,0.037932704995101145,0.03586476669101572,0.0,Low-Sales / High-Margin (Niche),0.3768844221105528,Normal
SweeTARTS,61.5,32.8,28.7,41,10,Sugar,Sugar Shack,46.666666666666664,0.7,0.04341822738132739,0.030744289248272137,0.0,Low-Sales / Low-Margin (Laggard),0.5333333333333333,Normal
Nerds,15.0,8.0,7.0,10,4,Sugar,Sugar Shack,46.666666666666664,0.7,0.010589811556421315,0.007498607133724911,0.0,Low-Sales / Low-Margin (Laggard),0.5333333333333333,Normal
Fun Dip,12.0,7.2,4.8,8,3,Sugar,Sugar Shack,40.0,0.6,0.008471849245137051,0.005141902034554224,0.0,Low-Sales / Low-Margin (Laggard),0.6,High Cost Risk
